Extracted_Locations,Location_Coordinates,Risk_Level,Sentiment_Label
['South America'],"[{'location': 'South America', 'latitude': -21.0002179, 'longitude': -61.0006565}]",Low Concern,Negative
['South America'],"[{'location': 'South America', 'latitude': -21.0002179, 'longitude': -61.0006565}]",Low Concern,Negative
['Netherlands'],"[{'location': 'Netherlands', 'latitude': 52.2434979, 'longitude': 5.6343227}]",Low Concern,Negative
['Kinda'],"[{'location': 'Kinda', 'latitude': 57.9946553, 'longitude': 15.8926885}]",Low Concern,Negative
['Kinda'],"[{'location': 'Kinda', 'latitude': 57.9946553, 'longitude': 15.8926885}]",High-Risk,Positive
"['South Carolina', 'Florida']","[{'location': 'South Carolina', 'latitude': 33.6874388, 'longitude': -80.4363743}, {'location': 'Florida', 'latitude': 27.7567667, 'longitude': -81.4639835}]",Low Concern,Negative
['Kinda'],"[{'location': 'Kinda', 'latitude': 57.9946553, 'longitude': 15.8926885}]",Low Concern,Positive
['Kinda'],"[{'location': 'Kinda', 'latitude': 57.9946553, 'longitude': 15.8926885}]",Moderate Concern,Negative
['South America'],"[{'location': 'South America', 'latitude': -21.0002179, 'longitude': -61.0006565}]",High-Risk,Negative
['America'],"[{'location': 'America', 'latitude': 39.7837304, 'longitude': -100.445882}]",High-Risk,Neutral
['Mexico'],"[{'location': 'Mexico', 'latitude': 23.6585116, 'longitude': -102.0077097}]",Low Concern,Negative
['South America'],"[{'location': 'South America', 'latitude': -21.0002179, 'longitude': -61.0006565}]",High-Risk,Negative
['Florida'],"[{'location': 'Florida', 'latitude': 27.7567667, 'longitude': -81.4639835}]",Low Concern,Negative
"['Venezuela', 'Latin America', 'Europe']","[{'location': 'Venezuela', 'latitude': 8.0018709, 'longitude': -66.1109318}, {'location': 'Latin America', 'latitude': 42.3739168, 'longitude': -71.11066769180692}, {'location': 'Europe', 'latitude': 51.0, 'longitude': 10.0}]",Low Concern,Negative
['North India'],"[{'location': 'North India', 'latitude': 37.787747, 'longitude': -122.3992384}]",Low Concern,Negative
['India'],"[{'location': 'India', 'latitude': 22.3511148, 'longitude': 78.6677428}]",Low Concern,Negative
['Fort'],"[{'location': 'Fort', 'latitude': 25.3851063, 'longitude': 86.46769912015446}]",Low Concern,Positive
['Canada'],"[{'location': 'Canada', 'latitude': 61.0666922, 'longitude': -107.991707}]",Low Concern,Positive
['Spain'],"[{'location': 'Spain', 'latitude': 39.3260685, 'longitude': -4.8379791}]",Low Concern,Negative
['Canada'],"[{'location': 'Canada', 'latitude': 61.0666922, 'longitude': -107.991707}]",Moderate Concern,Negative
['California'],"[{'location': 'California', 'latitude': 36.7014631, 'longitude': -118.755997}]",High-Risk,Negative
['United Kingdom'],"[{'location': 'United Kingdom', 'latitude': 54.7023545, 'longitude': -3.2765753}]",High-Risk,Negative
['Switzerland'],"[{'location': 'Switzerland', 'latitude': 46.7985624, 'longitude': 8.2319736}]",Low Concern,Negative
"['Texas', 'Turkey']","[{'location': 'Texas', 'latitude': 31.2638905, 'longitude': -98.5456116}, {'location': 'Turkey', 'latitude': 39.294076, 'longitude': 35.2316631}]",Low Concern,Negative
['Us'],"[{'location': 'Us', 'latitude': 39.7837304, 'longitude': -100.445882}]",Low Concern,Positive
['Kinda'],"[{'location': 'Kinda', 'latitude': 57.9946553, 'longitude': 15.8926885}]",High-Risk,Positive
"['New York', 'New York City']","[{'location': 'New York', 'latitude': 40.7127281, 'longitude': -74.0060152}, {'location': 'New York City', 'latitude': 40.7127281, 'longitude': -74.0060152}]",High-Risk,Negative
['Kinda'],"[{'location': 'Kinda', 'latitude': 57.9946553, 'longitude': 15.8926885}]",Low Concern,Positive
"['United Kingdom', 'Uk']","[{'location': 'United Kingdom', 'latitude': 54.7023545, 'longitude': -3.2765753}, {'location': 'Uk', 'latitude': 6.3110548, 'longitude': 20.5447525}]",High-Risk,Positive
['Los Angeles'],"[{'location': 'Los Angeles', 'latitude': 34.0536909, 'longitude': -118.242766}]",Moderate Concern,Positive
['Thailand'],"[{'location': 'Thailand', 'latitude': 14.8971921, 'longitude': 100.83273}]",Low Concern,Negative
['Kinda'],"[{'location': 'Kinda', 'latitude': 57.9946553, 'longitude': 15.8926885}]",Moderate Concern,Positive
